hotel_name,rating,description,address,url,city,latitude,longitude
SELECT'soHOME - Appartement pour 4 personnes avec vue exceptionnelle - Piscine et garage privé - CAPNAT-B08,9.1,"SELECT'soHOME - Appartement pour 4 personnes avec vue exceptionnelle - Piscine et garage privé - CAPNAT-B08 in Bormes-les-Mimosas offers a spacious apartment with one bedroom, one bathroom, and a comfortable living room. Guests enjoy free WiFi and air-conditioning throughout the property.","1657 Route des Lavandières, 83230 Bormes-les-Mimosas, France",https://www.booking.com/hotel/fr/select-t2-avec-vue-piscine-et-parking-prive-capnat-b08.en-gb.html?aid=304142&label=gen173nr-10CAQoggJCGXNlYXJjaF9ib3JtZXMgbGVzIG1pbW9zYXNIM1gEaE2IAQGYATO4ARfIAQzYAQPoAQH4AQGIAgGoAgG4Aszxm9AGwAIB0gIkOTdkYTEyZjUtNWQxNi00ZWIxLWI4YzAtMmFhYTExYWFhN2Uz2AIB4AIB&sid=6a5a03abc590e516f802d74dc1773b96&dist=0&group_adults=2&group_children=0&hapos=25&hpos=25&no_rooms=1&req_adults=2&req_children=0&room1=A%2CA&sb_price_type=total&sr_order=popularity&srepoch=1778841806&srpvid=38324b66ab74008d&type=total&ucfs=1&,Bormes Les Mimosas,43.142718,6.352916
Chez Michel,9.3,Chez Michel in Marseille offers direct beachfront access with stunning sea views. Guests can relax on the sun terrace and enjoy the sunshine.,"Bat F 22 Chemin du Roucas Blanc, 13007 Marseille, France",https://www.booking.com/hotel/fr/chez-michel-marseille1.en-gb.html?aid=304142&label=gen173nr-10CAQoggJCEHNlYXJjaF9tYXJzZWlsbGVIM1gEaE2IAQGYATO4ARfIAQzYAQPoAQH4AQGIAgGoAgG4As_xm9AGwAIB0gIkOWJjNDI2ZmMtM2Y0OS00OWVjLThmZWEtOGJkNDEzMWQwMDY52AIB4AIB&sid=6a5a03abc590e516f802d74dc1773b96&dist=0&group_adults=2&group_children=0&hapos=25&hpos=25&no_rooms=1&req_adults=2&req_children=0&room1=A%2CA&sb_price_type=total&sr_order=popularity&srepoch=1778841809&srpvid=e9e04b6782ac001a&type=total&ucfs=1&,Marseille,43.2871464,5.3657881
Elana - Bel appartement dans la quartier du Camas,9.2,"Elana - Bel appartement dans la quartier du Camas in Marseille offers a 2-star apartment with one bedroom and a living room. The property includes a fully equipped kitchen, washing machine, and free WiFi.","65 rue abbé de l'épée, 13005 Marseille, France",https://www.booking.com/hotel/fr/elana-bel-appartement-dans-la-quartier-du-camas.en-gb.html?aid=304142&label=gen173nr-10CAQoggJCEHNlYXJjaF9tYXJzZWlsbGVIM1gEaE2IAQGYATO4ARfIAQzYAQPoAQH4AQGIAgGoAgG4As_xm9AGwAIB0gIkOWJjNDI2ZmMtM2Y0OS00OWVjLThmZWEtOGJkNDEzMWQwMDY52AIB4AIB&sid=6a5a03abc590e516f802d74dc1773b96&dist=0&group_adults=2&group_children=0&hapos=24&hpos=24&no_rooms=1&req_adults=2&req_children=0&room1=A%2CA&sb_price_type=total&sr_order=popularity&srepoch=1778841809&srpvid=e9e04b6782ac001a&type=total&ucfs=1&,Marseille,43.2971674,5.3912804
Studio Vieux-Port Marseille Quai Rive Neuve,9.0,"Studio Vieux-Port Marseille Quai Rive Neuve offers a recently renovated apartment in Marseille city centre. Guests enjoy free WiFi, a fully equipped kitchen, and a private bathroom with a walk-in shower.","6 6 Rue de la Croix, 13007 Marseille, France",https://www.booking.com/hotel/fr/studio-moderne-et-chaleureux-vieux-port-marseille.en-gb.html?aid=304142&label=gen173nr-10CAQoggJCEHNlYXJjaF9tYXJzZWlsbGVIM1gEaE2IAQGYATO4ARfIAQzYAQPoAQH4AQGIAgGoAgG4As_xm9AGwAIB0gIkOWJjNDI2ZmMtM2Y0OS00OWVjLThmZWEtOGJkNDEzMWQwMDY52AIB4AIB&sid=6a5a03abc590e516f802d74dc1773b96&dist=0&group_adults=2&group_children=0&hapos=23&hpos=23&no_rooms=1&req_adults=2&req_children=0&room1=A%2CA&sb_price_type=total&sr_order=popularity&srepoch=1778841809&srpvid=e9e04b6782ac001a&type=total&ucfs=1&,Marseille,43.2918258,5.3689631
studio idealement situé,10.0,"Studio idealement situé in Marseille offers free WiFi, a washing machine, a fully equipped kitchen, and a TV. The apartment includes one bedroom and one bathroom, ensuring comfort for all guests.","3 eme etage 32 Rue Tapis Vert, 13001 Marseille, France",https://www.booking.com/hotel/fr/studio-idealement-situe-marseille.en-gb.html?aid=304142&label=gen173nr-10CAQoggJCEHNlYXJjaF9tYXJzZWlsbGVIM1gEaE2IAQGYATO4ARfIAQzYAQPoAQH4AQGIAgGoAgG4As_xm9AGwAIB0gIkOWJjNDI2ZmMtM2Y0OS00OWVjLThmZWEtOGJkNDEzMWQwMDY52AIB4AIB&sid=6a5a03abc590e516f802d74dc1773b96&dist=0&group_adults=2&group_children=0&hapos=22&hpos=22&no_rooms=1&req_adults=2&req_children=0&room1=A%2CA&sb_price_type=total&sr_order=popularity&srepoch=1778841809&srpvid=e9e04b6782ac001a&type=total&ucfs=1&,Marseille,43.2983657,5.3786347
"appartement renové , quartier historique du panier , centre-ville",7.5,"The apartment is situated in Marseille city centre, less than 1 km from Joliette Metro Station and the Museum of Civilizations of Europe and the Mediterranean. Vieux Port Metro station is a 12-minute walk away, while Les Terrasses du Port Shopping Centre lies 1 km from the property. Marseille Saint-Charles Train Station is 1.4 km distant.","27 A RUE DU PANIER, 13002 Marseille, France",https://www.booking.com/hotel/fr/appart-renove-quartier-historique-centre-ville.en-gb.html?aid=304142&label=gen173nr-10CAQoggJCEHNlYXJjaF9tYXJzZWlsbGVIM1gEaE2IAQGYATO4ARfIAQzYAQPoAQH4AQGIAgGoAgG4As_xm9AGwAIB0gIkOWJjNDI2ZmMtM2Y0OS00OWVjLThmZWEtOGJkNDEzMWQwMDY52AIB4AIB&sid=6a5a03abc590e516f802d74dc1773b96&dist=0&group_adults=2&group_children=0&hapos=21&hpos=21&no_rooms=1&req_adults=2&req_children=0&room1=A%2CA&sb_price_type=total&sr_order=popularity&srepoch=1778841809&srpvid=e9e04b6782ac001a&type=total&ucfs=1&,Marseille,43.2995042728417,5.367907513804653
Campanile NATURE - Marseille Saint-Antoine,8.0,"This property is located a 10-minute drive from Marseille's Vieux Port, 1 km from l'Hôpital Nord and a 7-minute drive from Grand Littoral shopping centre. It offers air-conditioned accommodation with free Wi-Fi and a garden terrace.

Each room at the Campanile NATURE - Marseille Saint-Antoine is equipped with an LCD TV, cable channels and tea and coffee making facilities. Rooms also have a private bathroom.

A breakfast buffet of pastries and cold meat is served daily and the Campanile NATURE - Marseille Saint-Antoine Restaurant offers contemporary, French cuisine. You can also sample the starter and dessert buffet.

Free private parking are also available at this hotel.","59 Avenue Anne-Marie, 13015 Marseille, France",https://www.booking.com/hotel/fr/campanile-marseille-saint-antoine.en-gb.html?aid=304142&label=gen173nr-10CAQoggJCEHNlYXJjaF9tYXJzZWlsbGVIM1gEaE2IAQGYATO4ARfIAQzYAQPoAQH4AQGIAgGoAgG4As_xm9AGwAIB0gIkOWJjNDI2ZmMtM2Y0OS00OWVjLThmZWEtOGJkNDEzMWQwMDY52AIB4AIB&sid=6a5a03abc590e516f802d74dc1773b96&dist=0&group_adults=2&group_children=0&hapos=20&hpos=20&no_rooms=1&req_adults=2&req_children=0&room1=A%2CA&sb_price_type=total&sr_order=popularity&srepoch=1778841809&srpvid=e9e04b6782ac001a&type=total&ucfs=1&,Marseille,43.37978112199208,5.355641841888428
Ibis Marseille Centre Prefecture,7.3,"Located in the 6th district of Marseille, Ibis Marseille Centre Prefectureoffers free WiFi access and a 24-hour front desk. It is a 12-minute walk from the Vieux Port, and 3 km from the Velodrome Stadium.

Rooms at Ibis Marseille Centre Prefecturecan be accessed by an elevator and are equipped with a satellite TV, desk and wardrobe. Rooms have an en suite bathroom with a shower and toilet.

Breakfast is served daily for a supplement and guests can find restaurants, bars and shops nearby, the hotel also offers catering services for groups, upon request and subject to availability . Newspapers are available daily for guests.

Marseille Saint Charles Train Station is 1.5 km away and can be accessed by metro with two stops located within 350 metres of the hotel. Marseille Airport is 27 km away. Private underground parking is available for a supplement.

Secure private parking is available subject to availability and an additional charge of EUR 15 per night, payable on site. Please note that the maximum height is 1.90 meters.

Our hotel is labeled Green Key. An international label that certifies environmentally friendly tourist accommodation. Learn more, click this link: https://www.laclefverte.org/","13 Rue Lafon, Castellane et Préfecture, 13006 Marseille, France",https://www.booking.com/hotel/fr/premiere-classe-marseille-centre-xml.en-gb.html?aid=304142&label=gen173nr-10CAQoggJCEHNlYXJjaF9tYXJzZWlsbGVIM1gEaE2IAQGYATO4ARfIAQzYAQPoAQH4AQGIAgGoAgG4As_xm9AGwAIB0gIkOWJjNDI2ZmMtM2Y0OS00OWVjLThmZWEtOGJkNDEzMWQwMDY52AIB4AIB&sid=6a5a03abc590e516f802d74dc1773b96&dist=0&group_adults=2&group_children=0&hapos=19&hpos=19&no_rooms=1&req_adults=2&req_children=0&room1=A%2CA&sb_price_type=total&sr_order=popularity&srepoch=1778841809&srpvid=e9e04b6782ac001a&type=total&ucfs=1&,Marseille,43.291553228272214,5.381971076130867
"Superbe Appartement, vue Notre Dame de la Garde, Vieux port",9.3,"Superbe Appartement in Marseille offers a central position with stunning views of Notre Dame de la Garde and the Vieux Port. Plage des Catalans is 1.7 km away, while the Vieux Port Metro station is a 4-minute walk.","50 Quai du Port, 13002 Marseille, France",https://www.booking.com/hotel/fr/superbe-appartement-vue-notre-dame-de-la-garde-vieux-port.en-gb.html?aid=304142&label=gen173nr-10CAQoggJCEHNlYXJjaF9tYXJzZWlsbGVIM1gEaE2IAQGYATO4ARfIAQzYAQPoAQH4AQGIAgGoAgG4As_xm9AGwAIB0gIkOWJjNDI2ZmMtM2Y0OS00OWVjLThmZWEtOGJkNDEzMWQwMDY52AIB4AIB&sid=6a5a03abc590e516f802d74dc1773b96&dist=0&group_adults=2&group_children=0&hapos=18&hpos=18&no_rooms=1&req_adults=2&req_children=0&room1=A%2CA&sb_price_type=total&sr_order=popularity&srepoch=1778841809&srpvid=e9e04b6782ac001a&type=total&ucfs=1&,Marseille,43.2964589,5.3712229
Studio agreable au coeur du quartier historique,7.7,"Studio Agreable au Coeur du Quartier Historique in Marseille offers a convenient central location. Joliette Metro Station is less than 1 km away, while Vieux Port Metro station is an 11-minute walk. Les Terrasses du Port Shopping Centre lies 1 km from the apartment.","Numero A 2e etage 27 Rue du Panier, 13002 Marseille, France",https://www.booking.com/hotel/fr/studio-agreable-au-coeur-du-quartier-historique-marseille1.en-gb.html?aid=304142&label=gen173nr-10CAQoggJCEHNlYXJjaF9tYXJzZWlsbGVIM1gEaE2IAQGYATO4ARfIAQzYAQPoAQH4AQGIAgGoAgG4As_xm9AGwAIB0gIkOWJjNDI2ZmMtM2Y0OS00OWVjLThmZWEtOGJkNDEzMWQwMDY52AIB4AIB&sid=6a5a03abc590e516f802d74dc1773b96&dist=0&group_adults=2&group_children=0&hapos=17&hpos=17&no_rooms=1&req_adults=2&req_children=0&room1=A%2CA&sb_price_type=total&sr_order=popularity&srepoch=1778841809&srpvid=e9e04b6782ac001a&type=total&ucfs=1&,Marseille,43.299373766144,5.367903677085
