hotel_name,rating,description,address,url,city,latitude,longitude
rez de chaussée studio climatisé dans villa,9.0,"The apartment offers a sun terrace, garden, and free WiFi. Guests can relax in the outdoor seating area or take advantage of the bicycle parking.","5 rue général de gaulle, 30220 Aigues-Mortes, France",https://www.booking.com/hotel/fr/studio-dans-villa.en-gb.html?aid=304142&label=gen173nr-10CAQoggJCFHNlYXJjaF9haWd1ZXMgbW9ydGVzSDNYBGhNiAEBmAEzuAEXyAEM2AED6AEB-AEBiAIBqAIBuAKIg_bQBsACAdICJDgyMDE5NWU1LTk4OWUtNGRkYS04YmExLTkxOTlkYzYzMzkyN9gCAeACAQ&sid=48a5b57dc25d69adf4e9ed0fa021f100&dist=0&group_adults=2&group_children=0&hapos=25&hpos=25&no_rooms=1&req_adults=2&req_children=0&room1=A%2CA&sb_price_type=total&sr_order=popularity&srepoch=1780318601&srpvid=95ff5b044d29017e&type=total&ucfs=1&,Aigues Mortes,43.57100823492068,4.197566684655758
"""Côté Soubeyran"" Centre-ville, Garage, Piscine, Terrasse",9.3,"Côté Soubeyran in Cassis offers a terrace, outdoor swimming pool, and free WiFi. Guests enjoy air-conditioning, a kitchenette, and a private bathroom with a walk-in shower.","13 Avenue Jules Ferry, 13260 Cassis, France",https://www.booking.com/hotel/fr/studio-le-club-cassis.en-gb.html?aid=304142&label=gen173nr-10CAQoggJCDXNlYXJjaF9jYXNzaXNIM1gEaE2IAQGYATO4ARfIAQzYAQPoAQH4AQGIAgGoAgG4AoyD9tAGwAIB0gIkYjZhMTg4NWEtMzI3Yi00M2I5LWI3ZGQtZmM1YmYwYWEyOTBh2AIB4AIB&sid=48a5b57dc25d69adf4e9ed0fa021f100&dist=0&group_adults=2&group_children=0&hapos=25&hpos=25&no_rooms=1&req_adults=2&req_children=0&room1=A%2CA&sb_price_type=total&sr_order=popularity&srepoch=1780318606&srpvid=8df85b06b0580060&type=total&ucfs=1&,Cassis,43.21791847540318,5.538636982208929
Nistoun par Dodo à Cassis,9.3,"Nistoun par Dodo à Cassis in Cassis offers a one-bedroom apartment with a living room. The property includes a fully equipped kitchen, washing machine, and free WiFi.","2 ème étage 1 Rue Dr Séverin Icard, 13260 Cassis, France",https://www.booking.com/hotel/fr/manjot-par-dodo-a-cassis.en-gb.html?aid=304142&label=gen173nr-10CAQoggJCDXNlYXJjaF9jYXNzaXNIM1gEaE2IAQGYATO4ARfIAQzYAQPoAQH4AQGIAgGoAgG4AoyD9tAGwAIB0gIkYjZhMTg4NWEtMzI3Yi00M2I5LWI3ZGQtZmM1YmYwYWEyOTBh2AIB4AIB&sid=48a5b57dc25d69adf4e9ed0fa021f100&dist=0&group_adults=2&group_children=0&hapos=24&hpos=24&no_rooms=1&req_adults=2&req_children=0&room1=A%2CA&sb_price_type=total&sr_order=popularity&srepoch=1780318606&srpvid=8df85b06b0580060&type=total&ucfs=1&,Cassis,43.2144845,5.5388473
Les Jardins de Cassis - Parking Gratuit & Piscine Chauffée,8.0,"Set in a Mediterranean-style garden with an outdoor heated swimming pool, and featuring a relaxation area with a hot tub and sauna, this hotel is a 10-minute walk from the centre of Cassis and La Grande Mer Beach. It is located 30 minutes from Marseille and offers free WiFi and 2 free secure car parks.

The air-conditioned guest rooms at Les Jardins de Cassis are equipped with a flat-screen TV with satellite channels. All rooms have a private bathroom with a shower and hairdryer and some feature a balcony or a terrace.

A continental buffet breakfast is served each morning in the breakfast room or on the terrace by the pool. Les Jardins de Cassis also features a 24-hour bar, which is situated by the pool and offers a terrace.

During their stay, guests are invited to play sports on the multipurpose sports field.

Cassis Train Station is located 1.9 km from the hotel. Circuit Paul Ricard is 35 minutes' drive away.","Avenue Auguste Favier, 13260 Cassis, France",https://www.booking.com/hotel/fr/les-jardins-de-cassis.en-gb.html?aid=304142&label=gen173nr-10CAQoggJCDXNlYXJjaF9jYXNzaXNIM1gEaE2IAQGYATO4ARfIAQzYAQPoAQH4AQGIAgGoAgG4AoyD9tAGwAIB0gIkYjZhMTg4NWEtMzI3Yi00M2I5LWI3ZGQtZmM1YmYwYWEyOTBh2AIB4AIB&sid=48a5b57dc25d69adf4e9ed0fa021f100&dist=0&group_adults=2&group_children=0&hapos=23&hpos=23&no_rooms=1&req_adults=2&req_children=0&room1=A%2CA&sb_price_type=total&sr_order=popularity&srepoch=1780318606&srpvid=8df85b06b0580060&type=total&ucfs=1&,Cassis,43.221840494518375,5.543384896958969
Cassis Plage 4,7.7,"Cassis Plage 4 offers a one-bedroom apartment in Cassis, France. The property features a living room with a sofa bed, a dining table, and a seating area.","4ème étage 23 Place Georges Clemenceau, 13260 Cassis, France",https://www.booking.com/hotel/fr/cassis-plage-4.en-gb.html?aid=304142&label=gen173nr-10CAQoggJCDXNlYXJjaF9jYXNzaXNIM1gEaE2IAQGYATO4ARfIAQzYAQPoAQH4AQGIAgGoAgG4AoyD9tAGwAIB0gIkYjZhMTg4NWEtMzI3Yi00M2I5LWI3ZGQtZmM1YmYwYWEyOTBh2AIB4AIB&sid=48a5b57dc25d69adf4e9ed0fa021f100&dist=0&group_adults=2&group_children=0&hapos=22&hpos=22&no_rooms=1&req_adults=2&req_children=0&room1=A%2CA&sb_price_type=total&sr_order=popularity&srepoch=1780318606&srpvid=8df85b06b0580060&type=total&ucfs=1&,Cassis,43.2137634,5.5390033
Best Western Hotel & SPA Coeur De Cassis,8.7,"The Best Western Hotel & SPA Cœur de Cassis welcomes you in the heart of downtown Cassis, in the center of the village, just 200 meters from the port and 300 meters from the beach. It is the ideal starting point for discovering the magnificent Calanques National Park. After a day of exploration, treat yourself to a moment of relaxation in our SPA (access by reservation, not permitted for children under 14), equipped with a jacuzzi, hammam, sauna and sensory shower. Massages are also available by reservation. The establishment, equipped with an elevator, is fully accessible to guests with reduced mobility. All rooms feature air conditioning, free Wi-Fi access, a television and a minibar. You can enjoy a private bathroom equipped with toiletries and a hairdryer. Comfort, Superior rooms as well as Suites also feature a Nespresso coffee machine. A continental buffet breakfast is served every morning in the dining room or on the sunny terrace. The reception, open 24 hours a day, warmly welcomes you and remains at your disposal to advise you and make your stay as pleasant as possible.","2, rue Pierre Eydin, 13260 Cassis, France",https://www.booking.com/hotel/fr/du-grand-jardin.en-gb.html?aid=304142&label=gen173nr-10CAQoggJCDXNlYXJjaF9jYXNzaXNIM1gEaE2IAQGYATO4ARfIAQzYAQPoAQH4AQGIAgGoAgG4AoyD9tAGwAIB0gIkYjZhMTg4NWEtMzI3Yi00M2I5LWI3ZGQtZmM1YmYwYWEyOTBh2AIB4AIB&sid=48a5b57dc25d69adf4e9ed0fa021f100&dist=0&group_adults=2&group_children=0&hapos=21&hpos=21&no_rooms=1&req_adults=2&req_children=0&room1=A%2CA&sb_price_type=total&sr_order=popularity&srepoch=1780318606&srpvid=8df85b06b0580060&type=total&ucfs=1&,Cassis,43.21457326278473,5.540146976709366
"""Côté Charlemagne"" Centre-ville Garage Piscine Terrasse",9.6,"Côté Charlemagne in Cassis offers a swimming pool with a view, terrace, and free WiFi. Guests can relax in the solarium and enjoy garden, pool, and mountain views.","Résidence Le Club, 13 avenue Jules Ferry, 13260 Cassis, France",https://www.booking.com/hotel/fr/studio-le-club-cassis1.en-gb.html?aid=304142&label=gen173nr-10CAQoggJCDXNlYXJjaF9jYXNzaXNIM1gEaE2IAQGYATO4ARfIAQzYAQPoAQH4AQGIAgGoAgG4AoyD9tAGwAIB0gIkYjZhMTg4NWEtMzI3Yi00M2I5LWI3ZGQtZmM1YmYwYWEyOTBh2AIB4AIB&sid=48a5b57dc25d69adf4e9ed0fa021f100&dist=0&group_adults=2&group_children=0&hapos=20&hpos=20&no_rooms=1&req_adults=2&req_children=0&room1=A%2CA&sb_price_type=total&sr_order=popularity&srepoch=1780318606&srpvid=8df85b06b0580060&type=total&ucfs=1&,Cassis,43.217954737553136,5.538644125378385
"The Originals Boutique, Hôtel Cassitel, Cassis",8.0,"The Originals Boutique, Hôtel Cassitel, Cassis is located opposite the Cassis fishing harbour, just a 2-minute walk from the beach and 40 minutes' drive from Circuit Paul Ricard. This hotel offers free WiFi access.

All rooms are air-conditioned and come with a private bathroom and a flat-screen TV.

A breakfast buffet is served daily at the The Originals Boutique, Hôtel Cassitel, Cassis and there is also a lounge area. The reception is open 24-hours a day and guests can ask for information regarding their stay in Cassis.

It is a 10-minute drive from the A50 motorway and 25 km from Marseille city centre.","Place Clémenceau, 13260 Cassis, France",https://www.booking.com/hotel/fr/interhotel-cassitel.en-gb.html?aid=304142&label=gen173nr-10CAQoggJCDXNlYXJjaF9jYXNzaXNIM1gEaE2IAQGYATO4ARfIAQzYAQPoAQH4AQGIAgGoAgG4AoyD9tAGwAIB0gIkYjZhMTg4NWEtMzI3Yi00M2I5LWI3ZGQtZmM1YmYwYWEyOTBh2AIB4AIB&sid=48a5b57dc25d69adf4e9ed0fa021f100&dist=0&group_adults=2&group_children=0&hapos=19&hpos=19&no_rooms=1&req_adults=2&req_children=0&room1=A%2CA&sb_price_type=total&sr_order=popularity&srepoch=1780318606&srpvid=8df85b06b0580060&type=total&ucfs=1&,Cassis,43.213706213836964,5.538958087563515
Best Western Plus Hôtel la Rade,8.8,"Best Western Plus Hôtel la Rade is located 14 metres from the Cassis fishing port and the Bestouan beach. It has an all year round heated swimming pool, a hot tub and terrace that overlooks the Mediterranean Sea.

All rooms at the Hôtel La Rade are soundproofed and equipped with a flat-screen TV with satellite channels. Each room has air conditioning and free Wi-Fi. The suites have a private bathroom with a view of the Cap Canaille.

Breakfast is served daily in the breakfast room with panoramic sea views. The Best Western Plus Hôtel la Rade also provides a bar and a 24-hour reception.

Nearby leisure activities include water sports at the beach, tennis and hiking expeditions through the Calanques rock valley. Cassis town centre is just a 5-minute walk away.

 Circuit Paul Ricard is 40 minutes' drive away.","1, avenue des Dardanelles, 13260 Cassis, France",https://www.booking.com/hotel/fr/la-rade-cassis.en-gb.html?aid=304142&label=gen173nr-10CAQoggJCDXNlYXJjaF9jYXNzaXNIM1gEaE2IAQGYATO4ARfIAQzYAQPoAQH4AQGIAgGoAgG4AoyD9tAGwAIB0gIkYjZhMTg4NWEtMzI3Yi00M2I5LWI3ZGQtZmM1YmYwYWEyOTBh2AIB4AIB&sid=48a5b57dc25d69adf4e9ed0fa021f100&dist=0&group_adults=2&group_children=0&hapos=18&hpos=18&no_rooms=1&req_adults=2&req_children=0&room1=A%2CA&sb_price_type=total&sr_order=popularity&srepoch=1780318606&srpvid=8df85b06b0580060&type=total&ucfs=1&,Cassis,43.21522996680949,5.533696934580803
Seaview.Cassis,9.3,Seaview.Cassis in Cassis offers direct beachfront access and stunning sea views. Guests enjoy free WiFi in public areas and a balcony for relaxation.,"Residence la rade Avenue de l'Amiral Ganteaume, 13260 Cassis, France",https://www.booking.com/hotel/fr/seaview-cassis.en-gb.html?aid=304142&label=gen173nr-10CAQoggJCDXNlYXJjaF9jYXNzaXNIM1gEaE2IAQGYATO4ARfIAQzYAQPoAQH4AQGIAgGoAgG4AoyD9tAGwAIB0gIkYjZhMTg4NWEtMzI3Yi00M2I5LWI3ZGQtZmM1YmYwYWEyOTBh2AIB4AIB&sid=48a5b57dc25d69adf4e9ed0fa021f100&dist=0&group_adults=2&group_children=0&hapos=17&hpos=17&no_rooms=1&req_adults=2&req_children=0&room1=A%2CA&sb_price_type=total&sr_order=popularity&srepoch=1780318606&srpvid=8df85b06b0580060&type=total&ucfs=1&,Cassis,43.2144315,5.5350757999999995
